comments	dye	buffer too bad?	reject_buffer	maxed_out	protein_sensitive	Exp0521--NHR32LBD	Ds00009--0p01_TritonX100_in_P1	Ds00010--Hsp72_SBD	Ds00011--Tau_P301S	Exp0468--eIF2B_no_ISIB	Exp0469--eIF2B_with_ISRIB	Exp0486--Jdomain	Exp0497--Hsp60	Exp0503--FKBP12	Exp0507--Hsc70	Exp0595--ACD_domain_protein6	Exp0596--H104-FL-B5-pre-inc_protein5	Exp0598--FL-B5-pre-inc_protein2	Exp0610--B5_with_zinc	Exp0615--BSA	Exp0616--FKBP12	Exp0618--OLF	Exp0619--PPIE	Exp0620--NPAS2_PAS-A	Exp0621--PER2_PAS-AB_wt	Exp0622--CLOCK_PASB_W362A	Exp0623--CP_BMAL1_PASB_W427A	Exp0624--HisPER2_AB_I324N	Exp0625--CP581_CBPKIX	Exp0626--CP547_p300_KIX	Exp0627--HisSUMO	Exp0628--Hsp10	Exp0629--HisGB1	Exp0630--Hsp60	Exp0650--His_NusA	Exp0671--GS_WT	Exp0672--GS_R341C	Exp0673--GS_324S	Exp0674--GS_324C	Exp0701--B5-pre-inc_phosphomim_protein_4	Exp0707--DDM_buffer	Exp0710--Nucleosome	Exp0723--Retinoic_acid_receptor_alpha	Exp0727--Snf2h_dye_screen	Exp0729--Tau_mi_diamond_10uM	Exp0730--Tau_ms_diamond	Exp0731--OGlcNacTransferase	Exp0732--Widom_601_DNA	Exp0734--Tau_mi_diamond_1uM	Exp0535--free_aas_mix1_G	Exp0535--free_aas_mix2_CMLRG	Exp0535--free_aas_mix3_DESNQ	Exp0535--free_aas_mix4_AVILP	Exp0535--free_aas_mix5_FYWTH
0	C002	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
super dim	C003	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	C004	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	C005	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	C006	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	C007	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	C008	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	C009	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	2	2	0	0	0	2	2	0	0	0	2	0	2	2	2	2	2	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
super dim	C010	0	FALSE	FALSE	FALSE	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	C011	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	C012	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	C013	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	C014	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	C015	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0	C016	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	C017	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	C018	0	FALSE	FALSE	FALSE	1	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	2	2	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	0	0	0	0	2	0	0	2	0	0	0	0
bad buffer	C019	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	0	0	2	1	1	0	0	0	0	0	0	0	2	2	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0	C020	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	C021	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	C022	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0	L001	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L002	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L003	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L004	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L005	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L006	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0
0	L007	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L008	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L009	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L010	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0	L011	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L012	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L013	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L014	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	L015	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bad buffer high detection	L016	1	TRUE	FALSE	FALSE	0	0	0	2	0	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	0	0	0	2	2	0	0	0	0	0
weird bad dye	L017	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	2	2	0	2	2	0	0	0	0	0	0	0	2	2	2	0	0	1	2	0	0	2	2	0	2	0	0	0	0	0	0
bad buffer	L018	1	TRUE	FALSE	FALSE	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0
high FAM buffer	L019	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
high FAM buffer	L020	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
max out FAM buffer	L021	-2	FALSE	TRUE	FALSE	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bad buffer	L022	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
max out FAM buffer	L023	0	FALSE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
max out FAM buffer	L024	-2	FALSE	TRUE	FALSE	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bad FAM buffer	L025	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
bad FAM buffer	L026	1	TRUE	FALSE	FALSE	0	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	1	0	0	2	2	0	2	2	2	2	2	2	0	2	0	2	0	2	2	2	0	2	0	0	0	0	0
equally quenched by all proteins	L027	-2	FALSE	TRUE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
max out FAM buffer	L028	-2	FALSE	TRUE	FALSE	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
max out FAM buffer	L029	-2	FALSE	TRUE	FALSE	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"weird high FAM buffer, widely protein sensitive"	L030	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"weird high FAM buffer, widely protein sensitive"	L031	-1	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	2	2	2	0	2	2	0	2	0	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	0	0	0	2	0	0	0	0	0	0
"weird high FAM buffer, widely protein sensitive"	L032	0	FALSE	FALSE	FALSE	0	2	0	2	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	2	0	0	2	0	2	2	2	2	2	2	2	0	0	0	0	0
"weird high FAM buffer, widely protein sensitive"	L033	-1	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
"weird high FAM buffer, widely protein sensitive"	L034	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"weird high FAM buffer, widely protein sensitive"	L035	1	TRUE	FALSE	FALSE	0	0	2	0	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	0
weird high FAM with lower protein sensitivity	L036	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bad buffer	L037	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0
bad buffer	L038	-1	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
weird buffer with high proten sensitivity	L039	-1	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
weird sigmoid buffer	L040	-1	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0
weird sigmoid buffer	L041	-1	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	0	0	2	0	0	0	2	2	2	0	0	0	0	2	0	2	0	0	0	0	2	0	2	0	2	0	0	2	2	0	0	0	0	0
weird doubletransition sigmoid buffer	L042	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
max out FAM buffer	L043	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
max out FAM buffer	L044	1	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
looks very similar for most proteins	L045	-1	FALSE	FALSE	TRUE	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	2	0	2	2	0	0	2	2	0	2	2	2	0	0	0	0	2	2	2	2	2	2	2	0	0	0	0	0
high buffer but some decent transitions on top of it	L046	-1	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	2	1	2	0	0	0	0	0	0	0	0	0	0	0
max out FAM buffer	L047	-2	FALSE	TRUE	FALSE	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
max out FAM buffer	L048	-2	FALSE	TRUE	FALSE	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
